skillName,simLinked,simSymba
advertising,"Tuple{String,Float32}[(""advertising"", 1.0), (""e-advertising"", 0.84615386), (""advertising law"", 0.73333335), (""adventuring"", 0.72727275), (""advergaming"", 0.72727275)]","Tuple{String,Float32}[(""advertising"", 1.0), (""e-advertising"", 0.84615386), (""advertising law"", 0.73333335), (""adventuring"", 0.72727275), (""advergaming"", 0.72727275)]"
social media,"Tuple{String,Float32}[(""social media"", 1.0), (""local media"", 0.8333333), (""social media roi"", 0.75)]","Tuple{String,Float32}[(""social media"", 1.0), (""local media"", 0.8333333), (""social media roi"", 0.75)]"
project management,"Tuple{String,Float32}[(""project management"", 1.0), (""product management"", 0.8888889), (""projektmanagement"", 0.8888889), (""hr project management"", 0.85714287), (""property management"", 0.84210527), (""process management"", 0.8333333), (""profit management"", 0.8333333), (""proj management"", 0.8333333), (""sap project management"", 0.8181818), (""web project management"", 0.8181818), (""project management plan"", 0.7826087), (""project team management"", 0.7826087), (""direct management"", 0.7777778), (""forest management"", 0.7777778), (""policy management"", 0.7777778), (""port management"", 0.7777778), (""power management"", 0.7777778), (""press management"", 0.7777778), (""print management"", 0.7777778), (""problem management"", 0.7777778), (""program management"", 0.7777778), (""project managers"", 0.7777778), (""production management"", 0.7619048), (""agile project management"", 0.75), (""broadcast management"", 0.75), (""legal project management"", 0.75), (""small project management"", 0.75), (""total project management"", 0.75), (""partners management"", 0.7368421), (""pavement management"", 0.7368421), (""people's management"", 0.7368421), (""personel management"", 0.7368421), (""practice management"", 0.7368421), (""priority management"", 0.7368421), (""proposal management"", 0.7368421), (""artist management"", 0.7222222), (""asset management"", 0.7222222), (""branch management"", 0.7222222), (""budget management"", 0.7222222), (""contact management"", 0.7222222), (""content management"", 0.7222222), (""cost management"", 0.7222222), (""credit management"", 0.7222222), (""crew management"", 0.7222222), (""cro management"", 0.7222222), (""debt management"", 0.7222222), (""event management"", 0.7222222), (""fleet management"", 0.7222222), (""font management"", 0.7222222), (""force management"", 0.7222222), (""grant management"", 0.7222222), (""grounds management"", 0.7222222), (""growth management"", 0.7222222), (""hotel management"", 0.7222222), (""model management"", 0.7222222), (""money management"", 0.7222222), (""move management"", 0.7222222), (""moves management"", 0.7222222), (""mro management"", 0.7222222), (""oem management"", 0.7222222), (""order management"", 0.7222222), (""paper management"", 0.7222222), (""partner management"", 0.7222222), (""patch management"", 0.7222222), (""pc management"", 0.7222222), (""people management"", 0.7222222), (""photo management"", 0.7222222), (""plant management"", 0.7222222), (""public management"", 0.7222222), (""rate management"", 0.7222222), (""road management"", 0.7222222), (""roi management"", 0.7222222), (""scope management"", 0.7222222), (""stock management"", 0.7222222), (""store management"", 0.7222222), (""talent management"", 0.7222222), (""test management"", 0.7222222), (""threat management"", 0.7222222), (""trade management"", 0.7222222), (""travel management"", 0.7222222), (""trust management"", 0.7222222), (""project management skills"", 0.72), (""project manager mentoring"", 0.72), (""department management"", 0.71428573), (""enrollment management"", 0.71428573), (""perfomance management"", 0.71428573)]","Tuple{String,Float32}[(""project management"", 1.0), (""product management"", 0.8888889), (""projektmanagement"", 0.8888889), (""hr project management"", 0.85714287), (""property management"", 0.84210527), (""process management"", 0.8333333), (""profit management"", 0.8333333), (""proj management"", 0.8333333), (""sap project management"", 0.8181818), (""web project management"", 0.8181818), (""project management plan"", 0.7826087), (""project team management"", 0.7826087), (""direct management"", 0.7777778), (""forest management"", 0.7777778), (""policy management"", 0.7777778), (""port management"", 0.7777778), (""power management"", 0.7777778), (""press management"", 0.7777778), (""print management"", 0.7777778), (""problem management"", 0.7777778), (""program management"", 0.7777778), (""project managers"", 0.7777778), (""production management"", 0.7619048), (""agile project management"", 0.75), (""broadcast management"", 0.75), (""legal project management"", 0.75), (""small project management"", 0.75), (""total project management"", 0.75), (""partners management"", 0.7368421), (""pavement management"", 0.7368421), (""people's management"", 0.7368421), (""personel management"", 0.7368421), (""practice management"", 0.7368421), (""priority management"", 0.7368421), (""proposal management"", 0.7368421), (""artist management"", 0.7222222), (""asset management"", 0.7222222), (""branch management"", 0.7222222), (""budget management"", 0.7222222), (""contact management"", 0.7222222), (""content management"", 0.7222222), (""cost management"", 0.7222222), (""credit management"", 0.7222222), (""crew management"", 0.7222222), (""cro management"", 0.7222222), (""debt management"", 0.7222222), (""event management"", 0.7222222), (""fleet management"", 0.7222222), (""font management"", 0.7222222), (""force management"", 0.7222222), (""grant management"", 0.7222222), (""grounds management"", 0.7222222), (""growth management"", 0.7222222), (""hotel management"", 0.7222222), (""model management"", 0.7222222), (""money management"", 0.7222222), (""move management"", 0.7222222), (""moves management"", 0.7222222), (""mro management"", 0.7222222), (""oem management"", 0.7222222), (""order management"", 0.7222222), (""paper management"", 0.7222222), (""partner management"", 0.7222222), (""patch management"", 0.7222222), (""pc management"", 0.7222222), (""people management"", 0.7222222), (""photo management"", 0.7222222), (""plant management"", 0.7222222), (""public management"", 0.7222222), (""rate management"", 0.7222222), (""road management"", 0.7222222), (""roi management"", 0.7222222), (""scope management"", 0.7222222), (""stock management"", 0.7222222), (""store management"", 0.7222222), (""talent management"", 0.7222222), (""test management"", 0.7222222), (""threat management"", 0.7222222), (""trade management"", 0.7222222), (""travel management"", 0.7222222), (""trust management"", 0.7222222), (""project management skills"", 0.72), (""project manager mentoring"", 0.72), (""department management"", 0.71428573), (""enrollment management"", 0.71428573), (""perfomance management"", 0.71428573)]"
event planning,"Tuple{String,Float32}[(""event planning"", 1.0), (""diet planning"", 0.78571427), (""event branding"", 0.78571427), (""fleet planning"", 0.78571427), (""joint planning"", 0.78571427), (""test planning"", 0.78571427), (""content planning"", 0.75), (""demand planning"", 0.73333335), (""energy planning"", 0.73333335), (""estate planning"", 0.73333335), (""sprint planning"", 0.73333335), (""inventory planning"", 0.7222222), (""treatment planning"", 0.7222222), (""asset planning"", 0.71428573), (""cost planning"", 0.71428573), (""event handling"", 0.71428573), (""event staffing"", 0.71428573), (""gift planning"", 0.71428573), (""mine planning"", 0.71428573), (""move planning"", 0.71428573), (""recovery planning"", 0.7058824)]","Tuple{String,Float32}[(""event planning"", 1.0), (""diet planning"", 0.78571427), (""event branding"", 0.78571427), (""fleet planning"", 0.78571427), (""joint planning"", 0.78571427), (""test planning"", 0.78571427), (""content planning"", 0.75), (""demand planning"", 0.73333335), (""energy planning"", 0.73333335), (""estate planning"", 0.73333335), (""sprint planning"", 0.73333335), (""inventory planning"", 0.7222222), (""treatment planning"", 0.7222222), (""asset planning"", 0.71428573), (""cost planning"", 0.71428573), (""event handling"", 0.71428573), (""event staffing"", 0.71428573), (""gift planning"", 0.71428573), (""mine planning"", 0.71428573), (""move planning"", 0.71428573), (""recovery planning"", 0.7058824)]"
java,"Tuple{String,Float32}[(""java"", 1.0), (""java5"", 0.8), (""jave"", 0.75), (""jva"", 0.75), (""lava"", 0.75)]","Tuple{String,Float32}[(""java"", 1.0), (""java5"", 0.8), (""jave"", 0.75), (""jva"", 0.75), (""lava"", 0.75)]"
javascript,"Tuple{String,Float32}[(""javascript"", 1.0), (""javscript"", 0.9), (""javascriptmvc"", 0.7692308), (""css javascript"", 0.71428573)]","Tuple{String,Float32}[(""javascript"", 1.0), (""javscript"", 0.9), (""javascriptmvc"", 0.7692308), (""css javascript"", 0.71428573)]"
github,"Tuple{String,Float32}[(""github"", 1.0)]","Tuple{String,Float32}[(""github"", 1.0)]"
microsoft office,"Tuple{String,Float32}[(""microsoft office"", 1.0), (""microsoft office x"", 0.8888889), (""microsoft office 95"", 0.84210527), (""microsoft office 97"", 0.84210527), (""microsoft office 98"", 0.84210527), (""microsoft office xp"", 0.84210527), (""microsoft backoffice"", 0.8), (""microsoft surface"", 0.7647059), (""microsoft office 2000"", 0.7619048), (""microsoft office 2003"", 0.7619048), (""microsoft office 2004"", 0.7619048), (""microsoft office 2007"", 0.7619048), (""microsoft basic"", 0.75), (""microsoft office 03/07"", 0.72727275), (""microsoft software"", 0.7222222)]","Tuple{String,Float32}[(""microsoft office"", 1.0), (""microsoft office x"", 0.8888889), (""microsoft office 95"", 0.84210527), (""microsoft office 97"", 0.84210527), (""microsoft office 98"", 0.84210527), (""microsoft office xp"", 0.84210527), (""microsoft backoffice"", 0.8), (""microsoft surface"", 0.7647059), (""microsoft office 2000"", 0.7619048), (""microsoft office 2003"", 0.7619048), (""microsoft office 2004"", 0.7619048), (""microsoft office 2007"", 0.7619048), (""microsoft basic"", 0.75), (""microsoft office 03/07"", 0.72727275), (""microsoft software"", 0.7222222)]"
microsoft excel,"Tuple{String,Float32}[(""microsoft excel"", 1.0), (""microsoft access"", 0.75), (""microsoft .net"", 0.73333335), (""microsoft c"", 0.73333335), (""microsoft mail"", 0.73333335), (""microsoft money"", 0.73333335), (""microsoft xna"", 0.73333335), (""microsoft exchange"", 0.7222222), (""microsoft servers"", 0.7058824)]","Tuple{String,Float32}[(""microsoft excel"", 1.0), (""microsoft access"", 0.75), (""microsoft .net"", 0.73333335), (""microsoft c"", 0.73333335), (""microsoft mail"", 0.73333335), (""microsoft money"", 0.73333335), (""microsoft xna"", 0.73333335), (""microsoft exchange"", 0.7222222), (""microsoft servers"", 0.7058824)]"
management,"Tuple{String,Float32}[(""management"", 1.0), (""bu management"", 0.7692308), (""hr management"", 0.7692308), (""ip management"", 0.7692308), (""it management"", 0.7692308), (""man mangement"", 0.7692308), (""pc management"", 0.7692308), (""a/r management"", 0.71428573), (""acd management"", 0.71428573), (""bar management"", 0.71428573), (""bed management"", 0.71428573), (""bid management"", 0.71428573), (""bom management"", 0.71428573), (""cmo management"", 0.71428573), (""cra management"", 0.71428573), (""cro management"", 0.71428573), (""dns management"", 0.71428573), (""ems management"", 0.71428573), (""f&b management"", 0.71428573), (""h&s management"", 0.71428573), (""key management"", 0.71428573), (""kol management"", 0.71428573), (""lan management"", 0.71428573), (""log management"", 0.71428573), (""man management"", 0.71428573), (""man-management"", 0.71428573), (""mro management"", 0.71428573), (""npi management"", 0.71428573), (""odm management"", 0.71428573), (""oem management"", 0.71428573), (""p&l management"", 0.71428573), (""pdf management"", 0.71428573), (""pdf-management"", 0.71428573), (""pnl management"", 0.71428573), (""psl management"", 0.71428573), (""roi management"", 0.71428573), (""rto management"", 0.71428573), (""shipmanagement"", 0.71428573), (""sku management"", 0.71428573), (""sme management"", 0.71428573), (""spa management"", 0.71428573), (""top management"", 0.71428573), (""vip management"", 0.71428573)]","Tuple{String,Float32}[(""management"", 1.0), (""bu management"", 0.7692308), (""hr management"", 0.7692308), (""ip management"", 0.7692308), (""it management"", 0.7692308), (""man mangement"", 0.7692308), (""pc management"", 0.7692308), (""a/r management"", 0.71428573), (""acd management"", 0.71428573), (""bar management"", 0.71428573), (""bed management"", 0.71428573), (""bid management"", 0.71428573), (""bom management"", 0.71428573), (""cmo management"", 0.71428573), (""cra management"", 0.71428573), (""cro management"", 0.71428573), (""dns management"", 0.71428573), (""ems management"", 0.71428573), (""f&b management"", 0.71428573), (""h&s management"", 0.71428573), (""key management"", 0.71428573), (""kol management"", 0.71428573), (""lan management"", 0.71428573), (""log management"", 0.71428573), (""man management"", 0.71428573), (""man-management"", 0.71428573), (""mro management"", 0.71428573), (""npi management"", 0.71428573), (""odm management"", 0.71428573), (""oem management"", 0.71428573), (""p&l management"", 0.71428573), (""pdf management"", 0.71428573), (""pdf-management"", 0.71428573), (""pnl management"", 0.71428573), (""psl management"", 0.71428573), (""roi management"", 0.71428573), (""rto management"", 0.71428573), (""shipmanagement"", 0.71428573), (""sku management"", 0.71428573), (""sme management"", 0.71428573), (""spa management"", 0.71428573), (""top management"", 0.71428573), (""vip management"", 0.71428573)]"
microsoft word,"Tuple{String,Float32}[(""microsoft word"", 1.0), (""microsoftword"", 0.9285714), (""microsoft works"", 0.8666667), (""microsoft network"", 0.7647059), (""microsoft azure"", 0.73333335), (""microsoft money"", 0.73333335), (""microsoft tools"", 0.73333335), (""microsoft .net"", 0.71428573), (""microsoft c"", 0.71428573), (""microsoft dns"", 0.71428573), (""microsoft mail"", 0.71428573), (""microsoft mvp"", 0.71428573), (""microsoft xna"", 0.71428573)]","Tuple{String,Float32}[(""microsoft word"", 1.0), (""microsoftword"", 0.9285714), (""microsoft works"", 0.8666667), (""microsoft network"", 0.7647059), (""microsoft azure"", 0.73333335), (""microsoft money"", 0.73333335), (""microsoft tools"", 0.73333335), (""microsoft .net"", 0.71428573), (""microsoft c"", 0.71428573), (""microsoft dns"", 0.71428573), (""microsoft mail"", 0.71428573), (""microsoft mvp"", 0.71428573), (""microsoft xna"", 0.71428573)]"
leadership,"Tuple{String,Float32}[(""leadership"", 1.0), (""it leadership"", 0.7692308)]","Tuple{String,Float32}[(""leadership"", 1.0), (""it leadership"", 0.7692308)]"
marketing strategy,"Tuple{String,Float32}[(""marketing strategy"", 1.0), (""b2b marketing strategy"", 0.8181818), (""web marketing strategy"", 0.8181818), (""event marketing strategy"", 0.75), (""marketing systems"", 0.7222222), (""messaging strategy"", 0.7222222), (""pricing strategy"", 0.7222222)]","Tuple{String,Float32}[(""marketing strategy"", 1.0), (""b2b marketing strategy"", 0.8181818), (""web marketing strategy"", 0.8181818), (""event marketing strategy"", 0.75), (""marketing systems"", 0.7222222), (""messaging strategy"", 0.7222222), (""pricing strategy"", 0.7222222)]"
public speaking,"Tuple{String,Float32}[(""public speaking"", 1.0)]","Tuple{String,Float32}[(""public speaking"", 1.0)]"
c,"Tuple{String,Float32}[(""c"", 1.0)]","Tuple{String,Float32}[(""c"", 1.0)]"
sql,"Tuple{String,Float32}[(""sql"", 1.0), (""isql"", 0.75), (""msql"", 0.75), (""osql"", 0.75), (""soql"", 0.75), (""sqlj"", 0.75), (""xsql"", 0.75)]","Tuple{String,Float32}[(""sql"", 1.0), (""isql"", 0.75), (""msql"", 0.75), (""osql"", 0.75), (""soql"", 0.75), (""sqlj"", 0.75), (""xsql"", 0.75)]"
c#,"Tuple{String,Float32}[(""c#"", 1.0)]","Tuple{String,Float32}[(""c#"", 1.0)]"
.net framework,"Tuple{String,Float32}[(""web framework"", 0.78571427), (""entity framework"", 0.75), (""baker framework"", 0.73333335), (""ionic framework"", 0.73333335), (""robot framework"", 0.73333335), (""coso framework"", 0.71428573), (""oa framework"", 0.71428573), (""play framework"", 0.71428573), (""web frameworks"", 0.71428573), (""zend framework"", 0.71428573), (""genesys framework"", 0.7058824)]","Tuple{String,Float32}[(""web framework"", 0.78571427), (""entity framework"", 0.75), (""baker framework"", 0.73333335), (""ionic framework"", 0.73333335), (""robot framework"", 0.73333335), (""coso framework"", 0.71428573), (""oa framework"", 0.71428573), (""play framework"", 0.71428573), (""web frameworks"", 0.71428573), (""zend framework"", 0.71428573), (""genesys framework"", 0.7058824)]"
entity framework,"Tuple{String,Float32}[(""entity framework"", 1.0), (""control framework"", 0.7058824), (""genesys framework"", 0.7058824)]","Tuple{String,Float32}[(""entity framework"", 1.0), (""control framework"", 0.7058824), (""genesys framework"", 0.7058824)]"
web design,"Tuple{String,Float32}[(""web design"", 1.0), (""webdesign"", 0.9), (""job design"", 0.8), (""lab design"", 0.8), (""mep design"", 0.8), (""pcb design"", 0.8), (""set design"", 0.8), (""sewer design"", 0.75), (""menu design"", 0.72727275), (""test design"", 0.72727275)]","Tuple{String,Float32}[(""web design"", 1.0), (""webdesign"", 0.9), (""job design"", 0.8), (""lab design"", 0.8), (""mep design"", 0.8), (""pcb design"", 0.8), (""set design"", 0.8), (""sewer design"", 0.75), (""menu design"", 0.72727275), (""test design"", 0.72727275)]"
