skillName,simLinked,simSymba
advertising,"Tuple{String,Float32}[(""advertising"", 1.0), (""e-advertising"", 0.846154), (""advertising law"", 0.733333), (""adventuring"", 0.727273), (""advergaming"", 0.727273)]","Tuple{String,Float32}[(""advertising"", 1.0), (""advertising"", 1.0)]"
social media,"Tuple{String,Float32}[(""social media"", 1.0), (""local media"", 0.833333), (""social media roi"", 0.75)]","Tuple{String,Float32}[]"
project management,"Tuple{String,Float32}[(""project management"", 1.0), (""product management"", 0.888889), (""projektmanagement"", 0.888889), (""hr project management"", 0.857143), (""property management"", 0.842105), (""process management"", 0.833333), (""profit management"", 0.833333), (""proj management"", 0.833333), (""sap project management"", 0.818182), (""web project management"", 0.818182), (""project management plan"", 0.782609), (""project team management"", 0.782609), (""direct management"", 0.777778), (""forest management"", 0.777778), (""policy management"", 0.777778), (""port management"", 0.777778), (""power management"", 0.777778), (""press management"", 0.777778), (""print management"", 0.777778), (""problem management"", 0.777778), (""program management"", 0.777778), (""project managers"", 0.777778), (""production management"", 0.761905), (""agile project management"", 0.75), (""broadcast management"", 0.75), (""legal project management"", 0.75), (""small project management"", 0.75), (""total project management"", 0.75), (""partners management"", 0.736842), (""pavement management"", 0.736842), (""people's management"", 0.736842), (""personel management"", 0.736842), (""practice management"", 0.736842), (""priority management"", 0.736842), (""proposal management"", 0.736842), (""artist management"", 0.722222), (""asset management"", 0.722222), (""branch management"", 0.722222), (""budget management"", 0.722222), (""contact management"", 0.722222), (""content management"", 0.722222), (""cost management"", 0.722222), (""credit management"", 0.722222), (""crew management"", 0.722222), (""cro management"", 0.722222), (""debt management"", 0.722222), (""event management"", 0.722222), (""fleet management"", 0.722222), (""font management"", 0.722222), (""force management"", 0.722222), (""grant management"", 0.722222), (""grounds management"", 0.722222), (""growth management"", 0.722222), (""hotel management"", 0.722222), (""model management"", 0.722222), (""money management"", 0.722222), (""move management"", 0.722222), (""moves management"", 0.722222), (""mro management"", 0.722222), (""oem management"", 0.722222), (""order management"", 0.722222), (""paper management"", 0.722222), (""partner management"", 0.722222), (""patch management"", 0.722222), (""pc management"", 0.722222), (""people management"", 0.722222), (""photo management"", 0.722222), (""plant management"", 0.722222), (""public management"", 0.722222), (""rate management"", 0.722222), (""road management"", 0.722222), (""roi management"", 0.722222), (""scope management"", 0.722222), (""stock management"", 0.722222), (""store management"", 0.722222), (""talent management"", 0.722222), (""test management"", 0.722222), (""threat management"", 0.722222), (""trade management"", 0.722222), (""travel management"", 0.722222), (""trust management"", 0.722222), (""project management skills"", 0.72), (""project manager mentoring"", 0.72), (""department management"", 0.714286), (""enrollment management"", 0.714286), (""perfomance management"", 0.714286)]","Tuple{String,Float32}[(""project management"", 1.0), (""product management"", 0.888889), (""process management"", 0.833333), (""provider management"", 0.736842), (""page management"", 0.722222), (""event management"", 0.722222), (""content management"", 0.722222), (""order management"", 0.722222), (""money management"", 0.722222), (""float management"", 0.722222), (""budget management"", 0.722222), (""asset management"", 0.722222), (""done management"", 0.722222)]"
event planning,"Tuple{String,Float32}[(""event planning"", 1.0), (""diet planning"", 0.785714), (""event branding"", 0.785714), (""fleet planning"", 0.785714), (""joint planning"", 0.785714), (""test planning"", 0.785714), (""content planning"", 0.75), (""demand planning"", 0.733333), (""energy planning"", 0.733333), (""estate planning"", 0.733333), (""sprint planning"", 0.733333), (""inventory planning"", 0.722222), (""treatment planning"", 0.722222), (""asset planning"", 0.714286), (""cost planning"", 0.714286), (""event handling"", 0.714286), (""event staffing"", 0.714286), (""gift planning"", 0.714286), (""mine planning"", 0.714286), (""move planning"", 0.714286), (""recovery planning"", 0.705882)]","Tuple{String,Float32}[(""content planning"", 0.75)]"
java,"Tuple{String,Float32}[(""java"", 1.0), (""java5"", 0.8), (""jave"", 0.75), (""jva"", 0.75), (""lava"", 0.75)]","Tuple{String,Float32}[(""java"", 1.0), (""java"", 1.0)]"
javascript,"Tuple{String,Float32}[(""javascript"", 1.0), (""javscript"", 0.9), (""javascriptmvc"", 0.769231), (""css javascript"", 0.714286)]","Tuple{String,Float32}[(""javascript"", 1.0)]"
github,"Tuple{String,Float32}[(""github"", 1.0)]","Tuple{String,Float32}[(""github"", 1.0)]"
microsoft office,"Tuple{String,Float32}[(""microsoft office"", 1.0), (""microsoft office x"", 0.888889), (""microsoft office 95"", 0.842105), (""microsoft office 97"", 0.842105), (""microsoft office 98"", 0.842105), (""microsoft office xp"", 0.842105), (""microsoft backoffice"", 0.8), (""microsoft surface"", 0.764706), (""microsoft office 2000"", 0.761905), (""microsoft office 2003"", 0.761905), (""microsoft office 2004"", 0.761905), (""microsoft office 2007"", 0.761905), (""microsoft basic"", 0.75), (""microsoft office 03/07"", 0.727273), (""microsoft software"", 0.722222)]","Tuple{String,Float32}[]"
microsoft excel,"Tuple{String,Float32}[(""microsoft excel"", 1.0), (""microsoft access"", 0.75), (""microsoft .net"", 0.733333), (""microsoft c"", 0.733333), (""microsoft mail"", 0.733333), (""microsoft money"", 0.733333), (""microsoft xna"", 0.733333), (""microsoft exchange"", 0.722222), (""microsoft servers"", 0.705882)]","Tuple{String,Float32}[]"
management,"Tuple{String,Float32}[(""management"", 1.0), (""bu management"", 0.769231), (""hr management"", 0.769231), (""ip management"", 0.769231), (""it management"", 0.769231), (""man mangement"", 0.769231), (""pc management"", 0.769231), (""a/r management"", 0.714286), (""acd management"", 0.714286), (""bar management"", 0.714286), (""bed management"", 0.714286), (""bid management"", 0.714286), (""bom management"", 0.714286), (""cmo management"", 0.714286), (""cra management"", 0.714286), (""cro management"", 0.714286), (""dns management"", 0.714286), (""ems management"", 0.714286), (""f&b management"", 0.714286), (""h&s management"", 0.714286), (""key management"", 0.714286), (""kol management"", 0.714286), (""lan management"", 0.714286), (""log management"", 0.714286), (""man management"", 0.714286), (""man-management"", 0.714286), (""mro management"", 0.714286), (""npi management"", 0.714286), (""odm management"", 0.714286), (""oem management"", 0.714286), (""p&l management"", 0.714286), (""pdf management"", 0.714286), (""pdf-management"", 0.714286), (""pnl management"", 0.714286), (""psl management"", 0.714286), (""roi management"", 0.714286), (""rto management"", 0.714286), (""shipmanagement"", 0.714286), (""sku management"", 0.714286), (""sme management"", 0.714286), (""spa management"", 0.714286), (""top management"", 0.714286), (""vip management"", 0.714286)]","Tuple{String,Float32}[(""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0)]"
