skillName,simSymba,bestSimSymba
advertising,"Tuple{String,Float32}[(""advertising"", 1.0), (""advertising"", 1.0)]",1
project management,"Tuple{String,Float32}[(""project management"", 1.0), (""product management"", 0.888889), (""process management"", 0.833333), (""provider management"", 0.736842), (""page management"", 0.722222), (""event management"", 0.722222), (""content management"", 0.722222), (""order management"", 0.722222), (""money management"", 0.722222), (""float management"", 0.722222), (""budget management"", 0.722222), (""asset management"", 0.722222), (""done management"", 0.722222)]",1
java,"Tuple{String,Float32}[(""java"", 1.0), (""java"", 1.0)]",1
javascript,"Tuple{String,Float32}[(""javascript"", 1.0)]",1
github,"Tuple{String,Float32}[(""github"", 1.0)]",1
management,"Tuple{String,Float32}[(""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0)]",1
public speaking,"Tuple{String,Float32}[(""public speaking"", 1.0)]",1
sql,"Tuple{String,Float32}[(""sql"", 1.0)]",1
c#,"Tuple{String,Float32}[(""c#"", 1.0)]",1
hibernate,"Tuple{String,Float32}[(""hibernate"", 1.0)]",1
e-commerce,"Tuple{String,Float32}[(""e-commerce"", 1.0), (""woocommerce"", 0.727273)]",1
testing,"Tuple{String,Float32}[(""testing"", 1.0), (""testing"", 1.0), (""testing"", 1.0), (""testing"", 1.0), (""hosting"", 0.714286)]",1
python,"Tuple{String,Float32}[(""python"", 1.0)]",1
c++,"Tuple{String,Float32}[(""c++"", 1.0)]",1
problem solving,"Tuple{String,Float32}[(""problem solving"", 1.0)]",1
engineering,"Tuple{String,Float32}[(""engineering"", 1.0)]",1
databases,"Tuple{String,Float32}[(""databases"", 1.0), (""database"", 0.888889), (""database"", 0.888889)]",1
integration,"Tuple{String,Float32}[(""integration"", 1.0), (""immigration"", 0.727273), (""integrated"", 0.727273)]",1
performance management,"Tuple{String,Float32}[(""performance management"", 1.0), (""grievance management"", 0.727273)]",1
scrum,"Tuple{String,Float32}[(""scrum"", 1.0), (""scrum"", 1.0)]",1
css,"Tuple{String,Float32}[(""css"", 1.0)]",1
software development,"Tuple{String,Float32}[(""software - development"", 0.909091)]",0.909091
react,"Tuple{String,Float32}[(""react"", 1.0)]",1
linux,"Tuple{String,Float32}[(""linux"", 1.0), (""linux"", 1.0)]",1
php,"Tuple{String,Float32}[(""php"", 1.0)]",1
customer service,"Tuple{String,Float32}[(""customer service"", 1.0), (""consumer services"", 0.705882)]",1
jquery,"Tuple{String,Float32}[(""jquery"", 1.0)]",1
marketing,"Tuple{String,Float32}[(""marketing"", 1.0)]",1
public relations,"Tuple{String,Float32}[(""public relations"", 1.0)]",1
graphic design,"Tuple{String,Float32}[(""graphic design"", 1.0)]",1
facebook,"Tuple{String,Float32}[(""facebook"", 1.0)]",1
html,"Tuple{String,Float32}[(""html"", 1.0)]",1
matlab,"Tuple{String,Float32}[(""matlab"", 1.0)]",1
product management,"Tuple{String,Float32}[(""product management"", 1.0), (""project management"", 0.888889), (""process management"", 0.777778), (""provider management"", 0.736842), (""order management"", 0.722222), (""float management"", 0.722222), (""budget management"", 0.722222)]",1
supply chain,"Tuple{String,Float32}[(""supply chain"", 1.0)]",1
java,"Tuple{String,Float32}[(""java"", 1.0), (""java"", 1.0)]",1
angularjs,"Tuple{String,Float32}[(""angularjs"", 1.0)]",1
research,"Tuple{String,Float32}[(""research"", 1.0), (""research"", 1.0), (""research"", 1.0), (""research"", 1.0), (""search"", 0.75)]",1
strategy,"Tuple{String,Float32}[(""strategy"", 1.0), (""strategy"", 1.0), (""strategy"", 1.0), (""strategy"", 1.0)]",1
change management,"Tuple{String,Float32}[(""change management"", 1.0), (""page management"", 0.823529), (""cadence management"", 0.777778), (""cadence management"", 0.777778), (""waste management"", 0.764706), (""done management"", 0.764706), (""revenue management"", 0.722222), (""content management"", 0.722222), (""team management"", 0.705882), (""event management"", 0.705882), (""money management"", 0.705882), (""budget management"", 0.705882), (""task management"", 0.705882), (""asset management"", 0.705882), (""task management"", 0.705882)]",1
process improvement,"Tuple{String,Float32}[(""process improvement"", 1.0), (""process management"", 0.736842), (""home improvement"", 0.736842)]",1
powerpoint,"Tuple{String,Float32}[(""powerpoint"", 1.0)]",1
human resources,"Tuple{String,Float32}[(""human resources"", 1.0)]",1
healthcare,"Tuple{String,Float32}[(""health care"", 0.909091)]",0.909091
publishing,"Tuple{String,Float32}[(""publishing"", 1.0)]",1
charities,"Tuple{String,Float32}[(""charities"", 1.0)]",1
sales,"Tuple{String,Float32}[(""sales"", 1.0), (""sales"", 1.0)]",1
security,"Tuple{String,Float32}[(""security"", 1.0)]",1
